t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalised_fitness,overcurrent,overtemp,joint_limit,timeout,algo,note
0,1,0.854678,0.609897,3.11783,0.536588,1.121201,1.121201,False,False,False,False,CMA-ES,
1,1,0.65705,1.584772,1.328022,0.507447,0.956943,0.956943,False,False,False,False,CMA-ES,
2,1,0.662567,0.522924,2.72394,0.430606,0.978657,0.978657,False,False,False,False,CMA-ES,
3,1,0.401535,0.43194,2.212907,0.432887,0.644635,0.644635,False,False,False,False,CMA-ES,
4,1,0.869465,0.286757,2.246771,0.694181,1.176754,1.176754,False,False,False,False,CMA-ES,
5,1,0.599952,1.070499,1.886834,0.39982,0.905918,0.905918,False,False,False,False,CMA-ES,
6,1,0.710252,1.482278,3.20067,0.301485,0.965846,0.965846,False,False,False,False,CMA-ES,
7,1,0.679268,0.456611,0.303535,0.470845,0.738767,0.738767,False,False,False,False,CMA-ES,
8,1,0.677518,0.537009,2.06963,0.61164,0.995901,0.995901,False,False,False,False,CMA-ES,
9,1,0.832287,0.761583,2.232809,0.579585,1.246302,1.246302,False,False,False,False,CMA-ES,
10,1,0.600521,0.996514,3.263536,0.619096,0.738223,0.738223,False,False,False,False,CMA-ES,
11,1,0.885583,1.08836,3.681471,0.862932,0.818159,0.818159,False,False,False,False,CMA-ES,
12,1,0.802601,0.563571,2.231975,0.557827,1.229515,1.229515,False,False,False,False,CMA-ES,
13,1,0.978509,0.664095,1.17237,0.580145,1.357631,1.357631,False,False,False,False,CMA-ES,
14,1,0.844993,0.339865,0.779024,0.721127,0.935274,0.935274,False,False,False,False,CMA-ES,
15,1,0.970906,0.36891,0.0,0.632142,0.832305,0.832305,False,False,False,False,CMA-ES,
16,1,1.0,0.601746,2.606588,0.479064,1.499512,1.499512,False,False,False,False,CMA-ES,
17,1,0.943675,0.644797,0.0,0.948799,0.706495,0.706495,False,False,False,False,CMA-ES,
18,1,0.76125,0.567315,1.909109,0.516037,1.173448,1.173448,False,False,False,False,CMA-ES,
19,1,0.794257,0.289569,3.585065,0.574804,0.853805,0.853805,False,False,False,False,CMA-ES,
20,1,0.65,1.0,2.5,0.5,0.993431,0.993431,False,False,False,False,SafeBO,seed
21,1,0.669768,1.036618,2.807884,0.48188,0.921415,0.921415,False,False,False,False,SafeBO,seed
22,1,0.673645,0.967652,1.859472,0.530281,1.021249,1.021249,False,False,False,False,SafeBO,seed
23,1,0.697482,0.976309,1.984201,0.565543,1.069441,1.069441,False,False,False,False,SafeBO,
24,1,0.6538,0.955119,2.087304,0.526743,1.029212,1.029212,False,False,False,False,SafeBO,
25,1,0.732676,0.959516,2.064662,0.632651,1.065209,1.065209,False,False,False,False,SafeBO,
26,1,0.646287,0.950413,2.065178,0.596063,0.97484,0.97484,False,False,False,False,SafeBO,
27,1,0.809311,0.991507,2.023258,0.510982,1.256962,1.256962,False,False,False,False,SafeBO,
28,1,0.849308,0.934763,1.905387,0.408174,1.368255,1.368255,False,False,False,False,SafeBO,
29,1,0.862295,0.92386,2.065174,0.422401,1.329143,1.329143,False,False,False,False,SafeBO,
30,1,0.973372,0.949028,1.904107,0.30888,1.572627,1.572627,False,False,False,False,SafeBO,
31,1,0.991697,0.973581,1.960764,0.284386,1.540677,1.540677,False,False,False,False,SafeBO,
32,1,0.999982,0.998303,1.827557,0.252795,1.512834,1.512834,False,False,False,False,SafeBO,
33,1,0.979268,0.933264,1.826033,0.286917,1.542729,1.542729,False,False,False,False,SafeBO,
34,1,0.946202,0.858734,1.881855,0.311239,1.483762,1.483762,False,False,False,False,SafeBO,
35,1,0.975064,0.92552,1.886617,0.348021,1.581107,1.581107,False,False,False,False,SafeBO,
36,1,1.0,0.963197,1.921072,0.397705,1.606569,1.606569,False,False,False,False,SafeBO,
37,1,1.0,0.932764,1.854213,0.378927,1.551419,1.551419,False,False,False,False,SafeBO,
38,1,1.0,0.961646,1.904158,0.405026,1.609617,1.609617,False,False,False,False,SafeBO,
39,1,0.976601,0.982835,1.968417,0.405297,1.518511,1.518511,False,False,False,False,SafeBO,
40,2,0.859547,0.78949,2.123322,0.339672,1.882593,1.882593,False,False,False,False,CMA-ES,
41,2,0.609201,0.937039,3.672433,0.672604,0.848575,0.848575,False,False,False,False,CMA-ES,
42,2,0.699002,0.747715,3.007363,0.272491,1.364102,1.364102,False,False,False,False,CMA-ES,
43,2,0.711397,1.192085,2.095566,0.538393,1.518432,1.518432,False,False,False,False,CMA-ES,
44,2,0.767643,1.021202,3.025238,0.434198,1.486544,1.486544,False,False,False,False,CMA-ES,
45,2,0.422294,1.166204,0.800028,0.770323,0.665345,0.665345,False,False,False,False,CMA-ES,
46,2,0.570275,0.637152,3.566303,0.501967,0.924148,0.924148,False,False,False,False,CMA-ES,
47,2,0.712595,0.797718,0.535256,0.616893,1.132669,1.132669,False,False,False,False,CMA-ES,
48,2,0.68424,0.821311,1.871153,0.220753,1.475994,1.475994,False,False,False,False,CMA-ES,
49,2,0.52227,1.652232,3.200458,0.393593,0.938257,0.938257,False,False,False,False,CMA-ES,
50,2,0.644625,1.092894,2.798667,0.629302,1.190413,1.190413,False,False,False,False,CMA-ES,
51,2,0.646829,1.137602,2.989429,0.561993,1.21267,1.21267,False,False,False,False,CMA-ES,
52,2,0.827021,0.810539,1.178175,0.4747,1.629829,1.629829,False,False,False,False,CMA-ES,
53,2,0.637585,1.117899,2.225192,0.332258,1.46309,1.46309,False,False,False,False,CMA-ES,
54,2,0.93635,0.962081,1.111886,0.280542,1.848791,1.848791,False,False,False,False,CMA-ES,
55,2,0.749752,0.695815,1.1772,0.681735,1.320444,1.320444,False,False,False,False,CMA-ES,
56,2,0.755468,1.284068,3.115927,0.342502,1.452318,1.452318,False,False,False,False,CMA-ES,
57,2,0.766167,1.012503,1.732255,0.200407,1.700578,1.700578,False,False,False,False,CMA-ES,
58,2,0.524014,1.290034,3.234683,0.430441,0.962295,0.962295,False,False,False,False,CMA-ES,
59,2,0.989708,1.47233,2.087961,0.641371,2.006777,2.006777,False,False,False,False,CMA-ES,
60,2,0.65,1.0,2.5,0.5,1.386823,1.386823,False,False,False,False,SafeBO,seed
61,2,0.669779,0.958354,2.501149,0.559211,1.352122,1.352122,False,False,False,False,SafeBO,seed
62,2,0.672599,0.951001,2.332311,0.437672,1.395576,1.395576,False,False,False,False,SafeBO,seed
63,2,0.546455,1.00558,2.466029,0.460275,1.131487,1.131487,False,False,False,False,SafeBO,
64,2,0.711155,0.944947,2.511786,0.454729,1.515956,1.515956,False,False,False,False,SafeBO,
65,2,0.807874,1.016808,2.48297,0.426387,1.663009,1.663009,False,False,False,False,SafeBO,
66,2,0.814444,0.922477,2.413249,0.439435,1.729346,1.729346,False,False,False,False,SafeBO,
67,2,0.829301,0.912433,2.367155,0.443378,1.773502,1.773502,False,False,False,False,SafeBO,
68,2,0.903642,0.870418,2.331227,0.488766,1.897403,1.897403,False,False,False,False,SafeBO,
69,2,1.0,0.816542,2.204729,0.543111,2.109581,2.109581,False,False,False,False,SafeBO,
70,2,1.0,0.867442,2.301832,0.560414,2.078591,2.078591,False,False,False,False,SafeBO,
71,2,1.0,0.887652,2.121965,0.556564,2.153066,2.153066,False,False,False,False,SafeBO,
72,2,0.997851,0.944863,2.225832,0.537182,2.104459,2.104459,False,False,False,False,SafeBO,
73,2,1.0,0.939009,2.25481,0.625028,1.987735,1.987735,False,False,False,False,SafeBO,
74,2,1.0,0.82721,2.159327,0.540276,2.077458,2.077458,False,False,False,False,SafeBO,
75,2,1.0,0.896341,2.183999,0.47495,2.113134,2.113134,False,False,False,False,SafeBO,
76,2,1.0,0.897973,2.147625,0.569825,2.09867,2.09867,False,False,False,False,SafeBO,
77,2,1.0,0.885702,2.293113,0.555021,2.050038,2.050038,False,False,False,False,SafeBO,
78,2,1.0,0.85501,2.155499,0.56676,2.070126,2.070126,False,False,False,False,SafeBO,
79,2,1.0,0.939183,2.25164,0.527255,2.117456,2.117456,False,False,False,False,SafeBO,
80,3,0.651755,0.961585,2.917086,0.499764,1.576184,1.576184,False,False,False,False,CMA-ES,
